Date,Tweets,Username,Url,Followers,Likes
2022-12-28 05:40:13+00:00,"David Warner reached the three-figure mark for the 45th time 😯

All his centuries have come as an opener, 25 tons in Tests, 19 in ODIs and one in T20Is 👏🏻

#DavidWarner #AUSvRSA #AUSvsSA @davidwarner31 @sachin_rt @henrygayle https://t.co/ChClu88qsy",weRcricket,https://twitter.com/weRcricket/status/1607974680421629954,25196,16
2022-12-28 05:32:51+00:00,"Favorite Cricketer 🏏
#SachinTendulkar #RohitSharma𓃵 
#ViratKohli #MSDhoni",anu_10__,https://twitter.com/anu_10__/status/1607972828984545280,272,0
2022-12-28 05:32:32+00:00,"@ImTanujSingh He has no god father like Sachin Tendulkar, Hardik pandya, Shubman  gill &amp; so many others chamcha typed players",nareshkalia1976,https://twitter.com/nareshkalia1976/status/1607972749179486212,1,1
2022-12-28 05:27:14+00:00,"@CrickeTendulkar @sachin_rt @100MasterBlastr Oh man, this innings was absolute bliss to any cricket fans… facing McGrath, Lee, Fleming under overcast condition 😅 kept reminding me about 99wc super six spell from McGrath till Sachin get settled… the six over warney’s head is still fresh in my memory",VIJIBASKY,https://twitter.com/VIJIBASKY/status/1607971416045150220,137,0
2022-12-28 05:17:11+00:00,"In the 90s, he carried the burden of our batting on his smallish yet strong shoulders.🧡

#OTD @MCG '99
Coming in at 2/11, @sachin_rt weathered the initial storm from @glennmcgrath11, @BrettLee_58 &amp; @ShaneWarne to a pure masterpiece Boxing Day Test 💯 under testing conditions. ❤️ https://t.co/APGFpm4Xkd",NorthStandGang,https://twitter.com/NorthStandGang/status/1607968884522635265,14712,38
2022-12-28 05:11:25+00:00,@sthalekar93 @scg #SachinTendulkar,TechiteasyMadhu,https://twitter.com/TechiteasyMadhu/status/1607967432215527424,115,0
2022-12-28 05:09:47+00:00,@joinMovEX ok @sachin_rt @Caduceus_CMP,SachinB24082002,https://twitter.com/SachinB24082002/status/1607967021073039360,119,0
2022-12-28 05:06:21+00:00,"#OnThisDay
28Dec1999 at MCG
@sachin_rt  scored his 5th test century vs Aus &amp; Reached 1000 runs vs Aus in 19th Ing at age of 26 by playing 11 Test

28Dec2014 at MCG
@imVkohli  scored his 5th test century vs Aus &amp; Reached 1000 runs vs Aus in 19th Ing at age of 26 by playing 11 Test https://t.co/ComBEE3JVN",tapeshtoushik,https://twitter.com/tapeshtoushik/status/1607966160934539264,25,0
2022-12-28 05:05:50+00:00,"BCCI தேர்வுக்குழு பதவிக்கு Dhoni, Sachin விண்ணப்பம்? 😳வியர்த்து போன Jay Shah | என்னாச்சு?

#INDvsBAN #IndvsBan2ndtest #t20squad #Viratkohli #dhoni  #odisquad  #indiavssrilanka #SachinTendulkar #indvssrilankaodisquad #colorkannadi  #MSDhoni

Full Video: https://t.co/csbMClMQ5v https://t.co/qx0ItoH0Y0",color_kannadi,https://twitter.com/color_kannadi/status/1607966029535383552,14,0
2022-12-28 05:03:23+00:00,@Zohaib1981 @sachin_rt @BrettLee_58 @AMP86793444 bhai 😊,manishsarangal1,https://twitter.com/manishsarangal1/status/1607965413308248065,1658,2
2022-12-28 04:59:30+00:00,"Sachin Tendulkar Scored 116 vs Australia #OnThisDay 28-12-1999 at MCG.
This was one of the best Test Hundred by @sachin_rt. 
@BrettLee_58 Debut For Australia in this Game. He Picked up 5 Wicket Haul.
https://t.co/vtt8eBweDV",Zohaib1981,https://twitter.com/Zohaib1981/status/1607964433774514176,6037,61
2022-12-28 04:59:27+00:00,डेविड वॉर्नर के लिए 100वां नंबर साबित हुआ भाग्यशाली...पहले वनडे फिर टेस्ट...अब टी20 में होगा चमत्कार! #DavidWarner #AUSvsSA #SachinTendulkar #Warner  https://t.co/uxH9a7QW3z,News18_Sports,https://twitter.com/News18_Sports/status/1607964422064205824,168,0
2022-12-28 04:50:29+00:00,@MFSahiHai @sachin_rt Best 👍,TaraGada1,https://twitter.com/TaraGada1/status/1607962166333968384,193,0
